#	oracle/acceptance/labelled_questions.tsv -- the labelled question set retrieval is tuned against. Sub-step 3.6.
#	WHAT THIS IS. A test fixture, not documentation. Every row is a question with an outcome that was
#	decided BEFORE the threshold was, so that 3.7's confirmation threshold is set by measurement
#	rather than by feel. Re-tuning a threshold without one of these is guessing.
#	COLUMNS
#	  id       stable. L=lunar, E=economics, X=cross-field, N=negative.
#	  kind     lunar | economics | cross | negative. All three question kinds are covered plus the
#	           negatives, which are what stop a tuner from driving the threshold to zero.
#	  split    tune | holdout. HOLDOUT ROWS WERE NOT LOOKED AT WHILE TUNING. They are scored once,
#	           at the end, against the threshold the tune split chose. A threshold that scores well
#	           on a fixture set its own author also tuned on proves nothing; the holdout is the only
#	           part of this file that can embarrass it.
#	  expect   top       -- target must be the single best (top-ranked confirmed) result
#	           confirmed -- target must appear anywhere in confirmedSet
#	           both      -- every path in target (semicolon-separated) must be in confirmedSet
#	           none      -- confirmedSet must be EMPTY. The corpus does not answer this.
#	           absent    -- target must NOT be in confirmedSet
#	  target   literature/-relative path(s), semicolon-separated. Empty for expect=none.
#	  question the query text, passed verbatim to searchLiterature().
#	  source   where the question came from. Questions inherited from another seat's document are
#	           worth more than questions invented against a filename listing I had just read.
#	  note     what the row is actually testing.
id	kind	split	expect	target	question	source	note
E-07	economics	holdout	confirmed	organization-and-production-systems/spear-1999-decoding-tps-dna.md	What are the rules that govern activities and connections in the Toyota production system?	Growth economist question surface 1.5	A productivity mechanism described at machine-executable resolution.
E-08	economics	tune	both	organization-and-production-systems/shewhart-1931-economic-control-quality.md;organization-and-production-systems/shewhart-1939-statistical-method-quality-control.md	What did Shewhart establish about the statistical control of manufactured product quality?	Growth economist question surface 1.5	Same author, two works, eight years apart. The author anchor fires on both, so the body confirm has to carry the row.
E-09	economics	tune	confirmed	growth-theory/christiano-1989-japan-saving-rate.md	Why was the Japanese saving rate so high after the war?	Growth economist question surface 1.1	A why-question with no cultural answer available in the corpus.
E-10	economics	holdout	confirmed	development-and-industrial-policy/caballero-2008-zombie-lending-japan.md	What is zombie lending and what did it do to Japanese bank balance sheets?	Growth economist question surface 1.6	Post-miracle. Vocabulary that appears nowhere in the lunar half.
E-11	economics	tune	confirmed	development-and-industrial-policy/vanderploeg-2011-natural-resources-curse-blessing.md	Is a natural resource windfall a curse or a blessing for a developing economy?	Growth economist question surface, transfer set	Sits on the boundary; the file is economics-fielded but the subject is resources.
E-12	economics	holdout	confirmed	organization-and-production-systems/flyvbjerg-2014-what-you-should-know-megaprojects.md	How do cost overruns behave on megaprojects?	Growth economist question surface 1.5	Cost vocabulary, which is ubiquitous in BOTH halves. A pooled table cannot tell that apart.
X-01	cross	tune	both	development-and-industrial-policy/beason-1996-targeting-japan.md;development-and-industrial-policy/henderson-2008-myth-of-miti.md	Did Japanese industrial policy targeting raise total factor productivity, and does that mechanism transfer to lunar ISRU capital deepening?	step0_engineer_corpus_merge part 7	THE MEASURED ONE-SIDED ANSWER. At 190 files this returned Beason confirmed and did not return Henderson at all: an honest refusal converted into a confident, well-cited, one-sided answer on exactly the class of question the merge was performed to enable.
X-02	cross	tune	both	development-and-industrial-policy/kiyota-2005-foreign-technology-acquisition.md;self-replication-and-automation/metzger-2013-bootstrapping-space-industry.md	Does the Japanese technology absorption mechanism apply to bootstrapping a lunar industrial base?	1.11 FIX-15	The cross-domain class the merge exists for. One file from each field, or the merge bought nothing.
X-03	cross	holdout	confirmed	development-and-industrial-policy/aoki-2009-government-tfp-growth.md	Does the learning penalty after new technology adoption in Japanese plants tell us anything about a lunar processing plant ramping up?	Growth economist question surface 1.3	Transfer question. The economics half must be reachable from lunar-flavoured phrasing.
X-04	cross	tune	confirmed	space-economy-and-markets/mckeown-2024-space-resource-hurdle-rate.md	What hurdle rate should a lunar resource investment clear, and what does growth theory say about the return to capital?	Growth economist question surface 2.1	Half the tokens are economics vocabulary against a lunar-fielded file. Field scoping makes this HARDER, which is why the threshold has to move.
X-05	cross	holdout	confirmed	growth-theory/romer-1990-endogenous-technological-change.md	Could a self-replicating lunar factory produce the kind of endogenous growth Romer models?	Growth economist question surface 2.2	Illustration-only transfer. Retrieval must still reach it; whether the transfer is legitimate is the register's ruling, not retrieval's.
X-06	cross	tune	confirmed	development-and-industrial-policy/vanderploeg-2011-natural-resources-curse-blessing.md	Is a lunar mining economy exposed to the resource curse that afflicts terrestrial commodity exporters?	Growth economist question surface 2.1	The strongest surviving transfer. Mixed vocabulary in both directions.
X-07	cross	holdout	confirmed	organization-and-production-systems/shewhart-1931-economic-control-quality.md	Does statistical process control apply to a lunar regolith processing plant?	Growth economist question surface 1.5	Deliberately lopsided: one strong economics anchor, one strong lunar anchor, nothing shared.
X-08	cross	tune	absent	space-economy-and-markets/gdp.md	How much of Japan's postwar growth came from reallocating labour out of agriculture?	authored; guards the field boundary	FALSE-POSITIVE GUARD. gdp.md is a lunar-fielded file in space-economy-and-markets whose vocabulary is macroeconomic. It is the single file most likely to be pulled in by an economics question through the wrong table.
N-01	negative	tune	none		What is the measured shear strength and bearing capacity of lunar regolith under cone penetration testing?	SR question surface; CORROBORATED by oracle/thin_patches.json T1, rank 1, which landed after this row was written	MEASURED ABSENCE. The Space Resources Engineer grepped all folders for "shear strength", "bearing capacity", "cone penetr" and "regolith mechanic" and found zero files; re-run at 169 on 2026-08-28, still zero. This row was authored from the Step 0 question surface and thin_patches.json then landed independently ranking the same gap first, which is corroboration rather than agreement by construction.
N-02	negative	tune	none		What did Chilean pension privatisation do to the national savings rate?	authored; out-of-corpus economics	A well-formed economics question about an episode this shelf has never heard of. Guards against a threshold low enough to confirm anything with saving-rate vocabulary.
N-03	negative	holdout	none		How does the Kuiper Belt object size-frequency distribution constrain planetesimal formation models?	authored; out-of-corpus space science	Space vocabulary, wrong subject. The nearest file is about Ceres, which is not an answer.
N-04	negative	tune	none		What is the optimal reheat pressure for a supercritical steam turbine cycle?	authored; out-of-corpus engineering	Power and thermal vocabulary that the power-and-thermal folder does not actually cover. Guards the strongest folder against its own folder name.
N-05	negative	tune	none		What is the tensile strength of carbon nanotube tether material for a space elevator?	authored; measured absence: 0 files match "carbon nanotube" or "space elevator"	Space vocabulary, subject the shelf has never carried. The nearest neighbour is launch logistics, which is not an answer.
N-06	negative	holdout	none		How does a currency board peg differ from a floating exchange rate regime?	authored; measured absence: 0 files match "currency board"	Well-formed macroeconomics about an instrument this shelf does not carry. The economics half is full of exchange-adjacent vocabulary, which is the point.
N-07	negative	tune	none		What is the half-life of technetium-99m used in nuclear medicine imaging?	authored; measured absence: 0 files match "technetium" or "nuclear medicine"	"nuclear" and "half-life" both occur in the power-and-thermal folder. The tokens are present; the subject is not.
N-08	negative	holdout	none		What crop density is optimal for hydroponic lettuce in a closed habitat?	authored; measured absence: 0 files match "hydroponic" or "lettuce"	Life support is genuinely off this shelf. "closed" and "habitat" are lunar vocabulary and must not be enough on their own.
N-09	negative	tune	none		What share of container orchestration deployments run on Kubernetes?	authored; measured absence: 0 files match "kubernetes" or "orchestration"	Wholly foreign vocabulary. If this confirms anything the instrument is broken, not merely loose.
N-10	negative	holdout	none		How do antibiotic resistance genes spread through hospital wastewater systems?	authored; measured absence: 0 files match "antibiotic" or "wastewater"	"systems", "spread" and "resistance" are all corpus-ubiquitous. A confirm here is a confirm on connective tissue alone.
N-11	negative	tune	none		What is the electron mobility of gallium nitride power transistors at high temperature?	authored; measured absence: 0 files match "gallium"; "transistor" occurs in 4	THE HARDEST NEGATIVE. "power", "temperature" and "high" are near-stopwords in the lunar half and "transistor" genuinely occurs. Everything but the subject is present.
N-12	negative	holdout	none		How did the Antarctic ozone hole respond to the Montreal Protocol?	authored; measured absence: 0 files match "montreal protocol"	Treaty-and-atmosphere vocabulary against a shelf whose treaties are all about property rights in space.
