file	corpus	identifier	identifier_kind	confidence
kokkinis-2024-automated-drilling-mining-review.md	both	10.3390/machines12120845	doi	medium:doi-unlabelled
kornuta-2019-commercial-lunar-propellant-architecture.md	lsei	10.1016/j.reach.2019.100026	doi	high
kornuta-2019-commercial-lunar-propellant.md	both	10.1016/j.reach.2019.100026	doi	medium:doi-unlabelled
lawrence-2003-small-area-thorium.md	both	10.1029/2003je002050	doi	high
lee-2008-robotic-self-replication-complexity.md	both	10.1177/0278364907084982	doi	medium:doi-unlabelled
leger-2025-energy-oxygen-moon.md	both	10.1073/pnas.2306146122	doi	high
levin-2025-lunar-crustal-kreep-distribution.md	both	10.1029/2024je008418	doi	high
lewis-1954-unlimited-supplies-labour.md	both	10.1111/j.1467-9957.1954.tb00021.x	doi	high
li-2018-surface-exposed-water-ice.md	lsei	10.1073/pnas.1802345115	doi	medium:doi-unlabelled
li-2026-shadowcam-psr-water-ice.md	lsei	10.1126/sciadv.aec8211	doi	medium:doi-unlabelled
linne-2020-lunar-water-pilot-plant.md	lsei		none	none:block-present-no-identifier
litvak-2024-lend-cabeus-water-ice.md	lsei	10.1134/s003809462470045x	doi	medium:doi-unlabelled
liu-2025-microwave-sintering-lunar-regolith-simulants.md	lsei	10.1016/j.jeurceramsoc.2024.117047	doi	medium:doi-unlabelled
lsic-2026-newsletter-august.md	lsei		none	none:host-only-url:lsic.jhuapl.edu
lsic-newsletter-2026-june-final.md	lsei		none	none:host-only-url:lsic.jhuapl.edu
lucas-1988-mechanics-economic-development.md	both	10.1016/0304-3932(88)90168-7	doi	high
luchsinger-2021-lcross-water-modeling.md	lsei	arxiv.org/abs/2009.05080	url	medium
luxembourg-2017-space-resources-law.md	both		none	none:block-present-no-identifier
marcy-2026-orbiting-data-centres-impact.md	both	arxiv.org/abs/2603.28829	url	low:url-unlabelled
matthews-2026-lunar-data-economy.md	both	10.1109/aero66936.2026.11519879	doi	medium:doi-unlabelled
may-1977-how-japans-economy-grew-so-fast-review.md	intake	10.2307/2232109	doi	high
mckeown-2024-space-resource-hurdle-rate.md	both	10.1016/j.spacepol.2024.101630	doi	medium:doi-unlabelled
mcleod-2017-extraterrestrial-ree.md	both	10.3390/resources6030040	doi	high
metzger-2013-bootstrapping-space-industry.md	both	10.1061/(asce)as.1943-5525.0000236	doi	medium:doi-unlabelled
metzger-2020-aqua-factorem.md	lsei	ntrs.nasa.gov/citations/20230008775	url	medium
metzger-2021-aqua-factorem.md	lsei		none	none:block-present-no-identifier
metzger-autry-2023-lunar-landing-pads.md	lsei		none	none:block-present-no-identifier
miwa-2002-fable-of-the-keiretsu.md	intake		none	none:block-present-no-identifier
moon-base-architecture-users-guide.md	lsei	nasa.gov/architecture	url	low:url-unlabelled
murphy-1989-industrialization-big-push.md	both	10.1086/261641	doi	high
nakamura-1989-postwar-japanese-economy.md	intake	10.1017/chol9780521223577.011	doi	high
nasa-2020-artemis-accords.md	both		none	none:block-present-no-identifier
nasa-2023-card-carbothermal-reduction.md	lsei		none	none:block-present-no-identifier
nasa-2025-fission-surface-power-directive.md	lsei		none	none:block-present-no-identifier
nasa-2025-moon-to-mars-architecture-add-revc.md	lsei	nasa.gov/moontomarsarchitecture	url	medium
nasa-clps-delivery-timeline.md	both		none	none:block-present-no-identifier
nasa-clps-procurement-vignette.md	both	nasa.gov/content/commercial-lunar-payload-services-overview	url	medium
nasa-data-gaps-acr25-wp-data-gaps-v3.md	lsei	nasa.gov/moontomarsarchitecture	url	low:multiple-labelled-urls:3
nasa-lunar-power-strategy-2025.md	lsei	ntrs.nasa.gov/citations/20250010948	url	low:multiple-labelled-urls:2
nasa-moon-to-mars-doc.md	lsei	nasa.gov/moontomarsarchitecture	url	medium
nayak-2024-six-hypotheses-lunar-economy.md	both	10.48550/arxiv.2403.05959	doi	medium:doi-unlabelled
nexgen-2015-evolvable-lunar-architecture.md	lsei		none	none:block-present-no-identifier
oecd-2023-space-economy-in-figures.md	both	10.1787/fa5494aa-en	doi	medium:doi-unlabelled
oleson-2022-deployable-fsp.md	lsei	ntrs.nasa.gov/citations/20220004670	url	medium
olson-2021-lunar-helium3-mining.md	both	ntrs.nasa.gov/citations/20210022801	url	medium
otsu-2007-neoclassical-postwar-japan.md	intake		none	none:host-only-url:imes.boj.or.jp
paige-2010-diviner-cold-trap-temperatures.md	lsei	10.1126/science.1187726	doi	high
paige-2010-diviner-psr-cold-traps.md	both	10.1126/science.1187726	doi	medium:doi-unlabelled
pappa-2021-relocatable-solar-array.md	lsei	ntrs.nasa.gov/citations/20210011743	url	medium
payload-research-starship-cost.md	both	payloadspace.com/payload-research-starships-progress-and-exploring-expendable-configuration	url	medium
pino-2022-lunar-waste-management.md	both	10.1089/space.2021.0012	doi	medium:doi-unlabelled
poston-2020-krusty-reactor-design.md	both	10.1080/00295450.2020.1725382	doi	medium:doi-unlabelled
prettyman-2006-lunar-elemental-composition.md	both	10.1029/2005je002656	doi	high
pritchett-2000-hills-among-plateaus.md	intake	10.1093/wber/14.2.221	doi	medium:doi-unlabelled
rahimdel-2024-mining-truck-reliability-bayesian.md	both	10.1038/s41598-024-52694-0	doi	medium:doi-unlabelled
rebelo-1991-ak-long-run-growth.md	both	10.1086/261764	doi	high
romer-1990-endogenous-technological-change.md	both	10.1086/261725	doi	high
rosenstein-rodan-1943-problems-industrialisation.md	both	10.2307/2226317	doi	high
ross-2023-lunar-south-pole-solar-power.md	lsei	10.1016/j.actaastro.2023.06.040	doi	medium:doi-unlabelled
rostami2018-figures.md	lsei		none	none:no-citation-block
rostami2018.md	lsei	10.1061/9780784481899.024	doi	medium:doi-unlabelled
ryan-2000-self-determination-theory.md	intake	10.1037/0003-066x.55.1.68	doi	medium:doi-unlabelled
sanders-2025-nasa-isru-progress-review.md	both		none	none:block-present-no-identifier
sanders-2025-nasa-lunar-isru-progress-review.md	lsei		none	none:block-present-no-identifier
sargeant-2020-hydrogen-reduction-ilmenite-static.md	lsei	10.1016/j.pss.2019.104759	doi	medium:doi-unlabelled
schorghofer-2026-current-theories-lunar-ice.md	lsei	arxiv.org/abs/2502.06056	url	medium
schreiner-2016-molten-regolith-electrolysis-sizing.md	lsei	10.1016/j.asr.2016.01.006	doi	medium:doi-unlabelled
schreiner-2016-mre-sizing-model.md	both	10.1016/j.asr.2016.01.006	doi	high
shewhart-1931-economic-control-quality.md	both		none	none:block-present-no-identifier
shewhart-1939-statistical-method-quality-control.md	both		none	none:block-present-no-identifier
shishko-2019-lunar-thermal-mining-business-case.md	lsei		none	none:block-present-no-identifier
sibille-2012-joule-heated-mre.md	both	ntrs.nasa.gov/citations/20120003037	url	medium
simonis-1979-denison-boltho-review.md	intake	hdl.handle.net/10419/122730	url	medium
smith-vaniz-2026-lunar-mining-economic-framework.md	both	10.1007/s44461-026-00008-9	doi	medium:doi-unlabelled
solow-1956-contribution-growth-theory.md	both	10.2307/1884513	doi	high
sowers-2019-psr-ice-mining.md	lsei	10.1089/space.2019.0002	doi	medium:doi-unlabelled
sowers-2019-thermal-mining-ice.md	both	10.1089/space.2019.0002	doi	medium:doi-unlabelled
sowers-2019-thermal-mining-niac-report.md	both		none	none:block-present-no-identifier
sowers-2019-thermal-mining-niac.md	lsei		none	none:block-present-no-identifier
spear-1999-decoding-tps-dna.md	intake		none	none:host-only-url:hbrreprints.org
speyerer-2012-in-search-of-shade.md	lsei	lpi.usra.edu/meetings/lpsc2012/pdf/2633.pdf	url	medium
speyerer-2013-persistently-illuminated-regions.md	lsei	10.1016/j.icarus.2012.10.010	doi	medium:doi-unlabelled
statistical-review-of-world-energy.md	both	energyinst.org/statistical-review	url	low:url-unlabelled
take-or-make-in-space.md	both		none	none:block-present-no-identifier
taylor-1911-scientific-management.md	both	gutenberg.org/ebooks/6435	url	medium
trist-1951-longwall-coal-getting.md	intake	10.1177/001872675100400101	doi	medium:doi-unlabelled
turyshev-2026-orbital-data-centers.md	both	arxiv.org/abs/2604.27197	url	low:url-unlabelled
un-1967-outer-space-treaty.md	both		none	none:block-present-no-identifier
un-1972-liability-convention-space-objects.md	both		none	none:block-present-no-identifier
un-1979-moon-agreement.md	both		none	none:block-present-no-identifier
us-congress-2015-commercial-space-launch-act.md	both		none	none:block-present-no-identifier
usgs-2025-platinum-group-metals-mcs.md	both	10.3133/mcs2025	doi	medium:doi-unlabelled
vanderploeg-2011-natural-resources-curse-blessing.md	both	10.1257/jel.49.2.366	doi	medium:doi-unlabelled
von-der-dunk-2015-us-space-launch-competitiveness-act.md	both	jurist.org/commentary/2015/11/frans-vonderdunk-space-launch	url	medium
wade-2018-developmental-state-dead-or-alive.md	intake	10.1111/dech.12381	doi	medium:doi-unlabelled
wang-2025-microwave-water-production.md	lsei	10.34133/research.0800	doi	medium:doi-unlabelled
wilson-2018-lp-thorium-reconstruction.md	both	10.48550/arxiv.1802.09508	doi	medium:multiple-labelled-dois:2
wittenberg-1992-he3-resources-review.md	lsei	10.13182/fst92-a29718	doi	medium:doi-unlabelled
zuniga-2017-lunar-cots-infrastructure.md	both	10.2514/6.2017-5148	doi	medium:doi-unlabelled
