# step2_factchecker_currency.tsv -- Step 2 Wave 2. The Fact-Checker. The 2.7 stated_as_of patch table.
# Keyed on merge_plan.tsv column 2 (key), NOT target_path. 25 rows selected from 176; 151 rejected.
# date_authority is a closed set of three: printed_in_source | derived_from_citation | unknown
#   printed_in_source      -- I opened the source PDF and read the date off it, OR the summary NAMES
#                             the printed feature the date sits on (signature block, title-slide
#                             banner, revision table, byline). 14 rows.
#   derived_from_citation  -- the date exists only in the summary's Citation/Metadata block and no
#                             printed feature is named. NOT a pass; it is "needs the PDF". 7 rows.
#   unknown                -- no date, or the only corroboration is a filename / file metadata. 4 rows.
# stated_as_of granularity is the granularity the source prints. Nothing here is inferred from an
#   mtime or a filename. Where a source prints both a data year and a publication/extraction date,
#   stated_as_of carries the publication/extraction date and basis records the data year.
# read-digest sha256 over sorted path\tsize\tmtimeMs = 3714f11f69043da3 over 189 files
#   (176 merge_plan source_paths + merge_plan.tsv + the 12 openable paired PDFs). This file and
#   step2_factchecker_currency.md are NOT counted in the 189.
key	stated_as_of	date_authority	basis
falcon-heavy-wikipedia.md	2026-07-19	derived_from_citation	Header block prints "**Retrieved:** 2026-07-19". This is a RETRIEVAL date recorded by the summariser, not a publication date: Wikipedia prints no publication date and its last-edited timestamp lives on the live page, not here. No paired PDF, and no `## Citation` heading at all -- the only file in this table lacking one, which is an oracle/NAMING.md section 7 exposure. SEPARATE DEFECT, routed in `## Not mine`: this file states "Maiden flight 2026-02-06 (Tesla Roadster)" while also stating "Flew Psyche (2023) and Europa Clipper (2024)" and "center-core recovery succeeded once (Arabsat-6A, 2019)". A 2026 maiden flight cannot precede 2019 recoveries; the real maiden flight is 2018-02-06.
jones-superheavylift-final20260614.md	unknown	unknown	OPENED, AND THE CLAIMED DATE DOES NOT VERIFY. Citation asserts "June 14, 2026". pdftotext over the whole PDF returns NO publication date; page 1 (the cover, where a CSPS report prints its date) extracts ZERO text because it is a raster. The only corroboration of 2026-06-14 anywhere on disk is the filename token FINAL20260614, and a filename-derived date is exactly what this table forbids. Latest date printed in the extractable body is June 8, 2026 (a Starship durability event) -- a content floor consistent with the claim, not the claim. UNSUPPORTED, not contradicted. One 200-dpi render of page 1 settles it; the summariser demonstrably rendered pages 6/14/15 and did not record the cover.
gao-2011-neutron-detectors-helium3.md	2011-09	printed_in_source	OPENED. pdftotext -layout, cover page, prints "September 2011" beside "Natural Resources and Environment" (extraction line 3). Citation's finer value "dated September 29, 2011" is the transmittal-letter date and is consistent.
oecd-2023-space-economy-in-figures.md	2024-09	printed_in_source	OPENED, AND THE FILE'S OWN KEY IS STALE. The imprint page prints "Revised version, September 2024" (extraction line 25) directly under the suggested citation "OECD (2023), The Space Economy in Figures ... https://doi.org/10.1787/fa5494aa-en". The summary's Citation gives "(2023)" only and nowhere records the revision. The bytes on disk are the September 2024 revised version; stamping this 2023 would print a currency the on-disk artifact does not have. The key and title stay as they are (they are the merge key); stated_as_of is 2024-09.
highfill-2024-us-space-economy-statistics.md	2024-06-25	printed_in_source	OPENED. pdftotext -layout, p.1 byline prints "By Tina Highfill, Patrick Georgi, and Chris Surfield | June 25, 2024"; the body repeats "released ... statistics for 2017-2022 on June 25, 2024". Data years 2017-2022; the 2017-2021 estimates are revised against BEA's 2023 comprehensive update.
statistical-review-of-world-energy.md	2026	printed_in_source	OPENED. Cover prints "2026 | 75th edition"; running foot prints "Energy Institute Statistical Review of World Energy 2026"; contents list "2025 Key highlights". Edition year 2026, data year 2025.
usgs-2025-platinum-group-metals-mcs.md	2025-01	printed_in_source	OPENED. Page footer prints "U.S. Geological Survey, Mineral Commodity Summaries, January 2025" (extraction line 150). Data run 2020-2024 with 2024 estimated (2024e), so the data year is 2024 and the publication month is January 2025.
gdp.md	2026-07-15	printed_in_source	OPENED. Every page of the table prints the source line "World Development Indicators database, World Bank, 15 July 2026" and the header "Gross domestic product 2025". Data year 2025 (with italicised figures for 2024 or 2023 where 2025 is unavailable); table extraction date 15 July 2026, which is the currency stamp.
bea-depreciation-rates.md	unknown	unknown	OPENED. pdftotext -layout over all 14 pages returns no publication, revision or "last updated" date anywhere; every year in the document belongs to a cited underlying study. The summary's Citation correctly gives no year -- the right behaviour, and it leaves the file with no currency at all. Content floor: the note discusses "the 2013 comprehensive revision of the NIPAs" as completed, so the document postdates 2013. A floor is not a stamp.
nasa-2020-artemis-accords.md	2020-10-13	printed_in_source	OPENED. The instrument prints "Adopted on October 13, 2020, in the English language." and the signature pages print "Date: 13th October 2020". SELECTED DESPITE BEING A LEGAL INSTRUMENT, because the summary asserts a ROSTER -- "The signature pages, as printed, list eight Signatory states" -- and a roster is a programme state. Without the stamp the Oracle prints eight signatories as if current; the eight are the original signature pages of 2020-10-13.
