path	primary	also	field
literature/power-and-thermal/nasa-lunar-power-strategy-2025.md	power-and-thermal	none	lunar
literature/space-economy-and-markets/nayak-2024-six-hypotheses-lunar-economy.md	space-economy-and-markets	none	lunar
literature/space-economy-and-markets/oecd-2023-space-economy-in-figures.md	space-economy-and-markets	none	lunar
literature/power-and-thermal/oleson-2022-deployable-fsp.md	power-and-thermal	none	lunar
literature/isru-processing/olson-2021-lunar-helium3-mining.md	isru-processing	space-economy-and-markets	lunar
literature/power-and-thermal/pappa-2021-relocatable-solar-array.md	power-and-thermal	none	lunar
literature/logistics-and-delivery/payload-research-starship-cost.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/isru-processing/pino-2022-lunar-waste-management.md	isru-processing	none	lunar
literature/lunar-ice-and-geology/prettyman-2006-lunar-elemental-composition.md	lunar-ice-and-geology	none	lunar
literature/growth-theory/pritchett-2000-hills-among-plateaus.md	growth-theory	development-and-industrial-policy	economics
literature/isru-processing/rahimdel-2024-mining-truck-reliability-bayesian.md	isru-processing	organization-and-production-systems	lunar
literature/growth-theory/rebelo-1991-ak-long-run-growth.md	growth-theory	none	economics
literature/growth-theory/romer-1990-endogenous-technological-change.md	growth-theory	none	economics
literature/development-and-industrial-policy/rosenstein-rodan-1943-problems-industrialisation.md	development-and-industrial-policy	growth-theory	economics
literature/power-and-thermal/ross-2023-lunar-south-pole-solar-power.md	power-and-thermal	lunar-ice-and-geology	lunar
literature/isru-processing/rostami2018.md	isru-processing	none	lunar
literature/organization-and-production-systems/ryan-2000-self-determination-theory.md	organization-and-production-systems	none	economics
literature/isru-processing/sargeant-2020-hydrogen-reduction-ilmenite-static.md	isru-processing	none	lunar
literature/lunar-ice-and-geology/schorghofer-2026-current-theories-lunar-ice.md	lunar-ice-and-geology	none	lunar
literature/isru-processing/sibille-2012-joule-heated-mre.md	isru-processing	none	lunar
literature/development-and-industrial-policy/simonis-1979-denison-boltho-review.md	development-and-industrial-policy	none	economics
literature/space-economy-and-markets/smith-vaniz-2026-lunar-mining-economic-framework.md	space-economy-and-markets	isru-processing	lunar
literature/growth-theory/solow-1956-contribution-growth-theory.md	growth-theory	none	economics
literature/power-and-thermal/speyerer-2012-in-search-of-shade.md	power-and-thermal	lunar-ice-and-geology	lunar
literature/power-and-thermal/speyerer-2013-persistently-illuminated-regions.md	power-and-thermal	lunar-ice-and-geology	lunar
literature/space-economy-and-markets/statistical-review-of-world-energy.md	space-economy-and-markets	growth-theory	lunar
literature/organization-and-production-systems/taylor-1911-scientific-management.md	organization-and-production-systems	none	economics
literature/organization-and-production-systems/trist-1951-longwall-coal-getting.md	organization-and-production-systems	none	economics
literature/space-economy-and-markets/turyshev-2026-orbital-data-centers.md	space-economy-and-markets	power-and-thermal	lunar
literature/space-economy-and-markets/usgs-2025-platinum-group-metals-mcs.md	space-economy-and-markets	none	lunar
literature/development-and-industrial-policy/vanderploeg-2011-natural-resources-curse-blessing.md	development-and-industrial-policy	growth-theory	economics
literature/space-law-and-governance/von-der-dunk-2015-us-space-launch-competitiveness-act.md	space-law-and-governance	space-economy-and-markets	lunar
literature/development-and-industrial-policy/wade-2018-developmental-state-dead-or-alive.md	development-and-industrial-policy	none	economics
literature/isru-processing/wang-2025-microwave-water-production.md	isru-processing	none	lunar
literature/lunar-ice-and-geology/wilson-2018-lp-thorium-reconstruction.md	lunar-ice-and-geology	none	lunar
literature/isru-processing/wittenberg-1992-he3-resources-review.md	isru-processing	space-economy-and-markets	lunar
literature/space-economy-and-markets/zuniga-2017-lunar-cots-infrastructure.md	space-economy-and-markets	programme-primaries	lunar
literature/power-and-thermal/473486main-iss-atcs-overview.md	power-and-thermal	none	lunar
literature/isru-processing/azami-2024-lunar-manufacturing-review.md	isru-processing	none	lunar
literature/growth-theory/barro-2004-economic-growth-textbook.md	growth-theory	none	economics
literature/growth-theory/bea-depreciation-rates.md	growth-theory	space-economy-and-markets	economics
literature/space-economy-and-markets/benaroya-2001-commercial-lunar-base.md	space-economy-and-markets	programme-primaries	lunar
literature/growth-theory/christiano-1989-japan-saving-rate.md	growth-theory	development-and-industrial-policy	economics
literature/lunar-ice-and-geology/colaprete-2010-lcross-ejecta-water-detection.md	lunar-ice-and-geology	none	lunar
literature/isru-processing/colozza-2010-solar-lunar-oxygen.md	isru-processing	none	lunar
literature/power-and-thermal/csank-2022-powering-the-moon.md	power-and-thermal	none	lunar
literature/organization-and-production-systems/deming-1967-japan-quality-control.md	organization-and-production-systems	development-and-industrial-policy	economics
literature/programme-primaries/dr-michael-nayak-luna-10.md	programme-primaries	none	lunar
literature/development-and-industrial-policy/esri-2016-japan-high-growth-economic-plans.md	development-and-industrial-policy	none	economics
literature/logistics-and-delivery/falcon-heavy-wikipedia.md	logistics-and-delivery	none	lunar
literature/space-law-and-governance/hague-working-group-2019-building-blocks-space-resources.md	space-law-and-governance	space-economy-and-markets	lunar
literature/space-economy-and-markets/highfill-2024-us-space-economy-statistics.md	space-economy-and-markets	none	lunar
literature/power-and-thermal/ieee-2022-paper-sh-tcs-architecture-and-technical-challenges-update.md	power-and-thermal	none	lunar
literature/logistics-and-delivery/jones-2020-lunar-propellant-breakeven.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/power-and-thermal/kerslake-2007-lunar-surface-power-transfer.md	power-and-thermal	none	lunar
literature/isru-processing/kleinhenz-2020-polar-water-case-studies.md	isru-processing	none	lunar
literature/logistics-and-delivery/kornuta-2019-commercial-lunar-propellant-architecture.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/isru-processing/linne-2020-lunar-water-pilot-plant.md	isru-processing	none	lunar
literature/programme-primaries/lsic-2026-newsletter-august.md	programme-primaries	none	lunar
literature/programme-primaries/lsic-newsletter-2026-june-final.md	programme-primaries	none	lunar
literature/space-law-and-governance/luxembourg-2017-space-resources-law.md	space-law-and-governance	space-economy-and-markets	lunar
literature/isru-processing/metzger-2021-aqua-factorem.md	isru-processing	none	lunar
literature/logistics-and-delivery/metzger-autry-2023-lunar-landing-pads.md	logistics-and-delivery	isru-processing;space-economy-and-markets	lunar
literature/development-and-industrial-policy/miwa-2002-fable-of-the-keiretsu.md	development-and-industrial-policy	none	economics
literature/space-law-and-governance/nasa-2020-artemis-accords.md	space-law-and-governance	none	lunar
literature/isru-processing/nasa-2023-card-carbothermal-reduction.md	isru-processing	none	lunar
literature/programme-primaries/nasa-2025-fission-surface-power-directive.md	programme-primaries	power-and-thermal	lunar
literature/logistics-and-delivery/nasa-clps-delivery-timeline.md	logistics-and-delivery	programme-primaries	lunar
literature/programme-primaries/nasa-data-gaps-acr25-wp-data-gaps-v3.md	programme-primaries	none	lunar
literature/programme-primaries/nasa-moon-to-mars-doc.md	programme-primaries	none	lunar
literature/space-economy-and-markets/nexgen-2015-evolvable-lunar-architecture.md	space-economy-and-markets	programme-primaries	lunar
literature/growth-theory/otsu-2007-neoclassical-postwar-japan.md	growth-theory	development-and-industrial-policy	economics
literature/lunar-ice-and-geology/paige-2010-diviner-cold-trap-temperatures.md	lunar-ice-and-geology	none	lunar
literature/power-and-thermal/poston-2020-krusty-reactor-design.md	power-and-thermal	none	lunar
literature/isru-processing/rostami2018-figures.md	isru-processing	none	lunar
literature/programme-primaries/sanders-2025-nasa-isru-progress-review.md	programme-primaries	isru-processing	lunar
literature/isru-processing/schreiner-2016-mre-sizing-model.md	isru-processing	none	lunar
literature/organization-and-production-systems/shewhart-1931-economic-control-quality.md	organization-and-production-systems	none	economics
literature/organization-and-production-systems/shewhart-1939-statistical-method-quality-control.md	organization-and-production-systems	none	economics
literature/space-economy-and-markets/shishko-2019-lunar-thermal-mining-business-case.md	space-economy-and-markets	isru-processing	lunar
literature/isru-processing/sowers-2019-psr-ice-mining.md	isru-processing	lunar-ice-and-geology	lunar
literature/isru-processing/sowers-2019-thermal-mining-niac-report.md	isru-processing	lunar-ice-and-geology	lunar
literature/organization-and-production-systems/spear-1999-decoding-tps-dna.md	organization-and-production-systems	none	economics
literature/logistics-and-delivery/take-or-make-in-space.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/space-law-and-governance/un-1967-outer-space-treaty.md	space-law-and-governance	none	lunar
literature/space-law-and-governance/un-1972-liability-convention-space-objects.md	space-law-and-governance	none	lunar
literature/space-law-and-governance/un-1979-moon-agreement.md	space-law-and-governance	none	lunar
literature/space-law-and-governance/us-congress-2015-commercial-space-launch-act.md	space-law-and-governance	space-economy-and-markets	lunar
